,id,titulo,artista,Est_animo,tiempo,genero,tipo_artista,fecha,duracionSeg,top,anioNacimiento,edad_en_billboard,Est_animo_cod,tiempo_cod,genero_cod,tipo_artista_cod,edad_cod,duracion_cod
0,0,Small Town Throwdown,BRANTLEY GILBERT featuring JUSTIN MOORE & THOMAS RHETT,Brooding,Medium Tempo,Traditional,Male,20140628,191.0,0,1975.0,39,4,2,2,3,3.0,2.0
1,1,Bang Bang,JESSIE J ARIANA GRANDE & NICKI MINAJ,Energizing,Medium Tempo,Pop,Female,20140816,368.0,0,1989.0,25,6,2,3,2,1.0,6.0
2,2,Timber,PITBULL featuring KE$HA,Excited,Medium Tempo,Urban,Mixed,20140118,223.0,1,1993.0,21,5,2,4,1,0.0,3.0
3,3,Sweater Weather,THE NEIGHBOURHOOD,Brooding,Medium Tempo,Alternative & Punk,Male,20140104,206.0,0,1989.0,25,4,2,1,3,1.0,2.0
4,4,Automatic,MIRANDA LAMBERT,Yearning,Medium Tempo,Traditional,Female,20140301,232.0,0,,25,4,2,2,2,1.0,3.0
5,5,Where Is At (Yep Yep),DUSTIN LYNCH,Upbeat,Medium Tempo,Traditional,Male,20140531,219.0,0,1990.0,24,5,2,2,3,1.0,3.0
6,6,Single Ladies (Put A Ring On It),BEYONCE,Cool,Slow Tempo,Urban,Female,20081213,43.0,1,1981.0,27,5,1,4,2,2.0,0.0
7,7,Me And My Broken Heart,RIXTON,Urgent,Fast Tempo,Pop,Male,20140412,557.0,0,1973.0,41,3,0,3,3,4.0,6.0
8,8,I Luh Ya Papi,JENNIFER LOPEZ featuring FRENCH MONTANA,Aggressive,Medium Tempo,Urban,Female,20140329,182.0,0,1969.0,45,4,2,4,2,4.0,2.0
9,9,Chocolate,THE 1975,Yearning,Medium Tempo,Alternative & Punk,Male,20140208,347.0,0,,23,4,2,1,3,1.0,6.0
10,10,Fancy,IGGY AZALEA featuring CHARLI XCX,Energizing,Medium Tempo,Urban,Female,20140607,197.0,1,1974.0,40,6,2,4,2,3.0,2.0
11,11,Take Me To Church,HOZIER,Sophisticated,Medium Tempo,Alternative & Punk,Male,20140830,223.0,0,,24,4,2,1,3,1.0,3.0
12,12,Confident,JUSTIN BIEBER featuring CHANCE THE RAPPER,Energizing,Fast Tempo,Pop,Male,20140215,258.0,0,1992.0,22,6,0,3,3,1.0,4.0
13,13,V. 3005,CHILDISH GAMBINO,Defiant,Medium Tempo,Urban,Male,20140628,302.0,0,,30,3,2,4,3,2.0,6.0
14,14,Lifestyle,RICH GANG featuring YOUNG THUG & RICH HOMIE QUAN,Sensual,Medium Tempo,Urban,Female,20140802,182.0,0,1977.0,37,2,2,4,2,3.0,2.0
15,15,Teenage Dream,KATY PERRY,Excited,Medium Tempo,Pop,Female,20100918,235.0,1,1984.0,26,5,2,3,2,1.0,3.0
16,16,Hello Kitty,AVRIL LAVIGNE,Aggressive,Medium Tempo,Pop,Female,20140510,222.0,0,1984.0,30,4,2,3,2,2.0,3.0
17,17,Underneath The Tree,KELLY CLARKSON,Yearning,Medium Tempo,Pop,Female,20140104,199.0,0,1985.0,29,4,2,3,2,2.0,2.0
18,18,Know Yourself,DRAKE,Cool,Medium Tempo,Urban,Male,20150307,282.0,0,1986.0,29,5,2,4,3,2.0,5.0
19,19,Drink A Beer,LUKE BRYAN,Empowering,Medium Tempo,Traditional,Male,20140104,242.0,0,1976.0,38,6,2,2,3,3.0,4.0
20,20,Glory,COMMON & JOHN LEGEND,Sophisticated,Medium Tempo,Urban,Male,20150131,199.0,0,1985.0,30,4,2,4,3,2.0,2.0
21,21,Anaconda,NICKI MINAJ,Defiant,Medium Tempo,Urban,Female,20140823,364.0,0,1988.0,26,3,2,4,2,1.0,6.0
22,22,Don't Forget About Us,MARIAH CAREY,Sensual,Medium Tempo,Urban,Female,20051231,229.0,1,1970.0,35,2,2,4,2,3.0,3.0
23,23,One More Night,MAROON 5,Energizing,Medium Tempo,Pop,Male,20120929,314.0,1,1989.0,23,6,2,3,3,1.0,6.0
24,24,Bobby Bitch,BOBBY SHMURDA,Defiant,Medium Tempo,Urban,Male,20141101,315.0,0,1979.0,35,3,2,4,3,3.0,6.0
25,25,Elastic Heart,SIA,Excited,Medium Tempo,Alternative & Punk,Female,20150124,250.0,0,1985.0,30,5,2,1,2,2.0,4.0
26,26,Thriller,MICHAEL JACKSON,Energizing,Medium Tempo,Urban,Male,20141115,229.0,0,1958.0,56,6,2,4,3,4.0,3.0
27,27,Doin' What She Likes,BLAKE SHELTON,Empowering,Medium Tempo,Traditional,Male,20140201,195.0,0,,21,6,2,2,3,0.0,2.0
28,28,That's My Kind Of Night,LUKE BRYAN,Gritty,Medium Tempo,Traditional,Male,20140104,285.0,0,1976.0,38,3,2,2,3,3.0,5.0
29,29,Slow Motion,JUVENILE featuring SOULJA SLIM,Cool,Medium Tempo,Urban,Male,20040807,235.0,1,1982.0,22,5,2,4,3,1.0,3.0
30,30,Velvet,CHRIS JAMISON,Cool,Slow Tempo,Pop,Male,20150103,239.0,0,1994.0,21,5,1,3,3,0.0,3.0
31,31,Take Your Time,SAM HUNT,Yearning,Medium Tempo,Traditional,Male,20150117,197.0,0,1984.0,31,4,2,2,3,3.0,2.0
32,32,No Mediocre,T.I. featuring IGGY AZALEA,Defiant,Medium Tempo,Urban,Mixed,20140705,197.0,0,1988.0,26,3,2,4,1,1.0,2.0
33,33,Something In The Water,CARRIE UNDERWOOD,Romantic,Medium Tempo,Traditional,Female,20141018,184.0,0,,24,2,2,2,2,1.0,2.0
34,34,Fireball,PITBULL featuring JOHN RYAN,Excited,Medium Tempo,Urban,Male,20140823,289.0,0,1981.0,33,5,2,4,3,3.0,5.0
35,35,Blessings,BIG SEAN featuring DRAKE,Defiant,Medium Tempo,Urban,Male,20150221,250.0,0,1986.0,29,3,2,4,3,2.0,4.0
36,36,Work,IGGY AZALEA,Energizing,Fast Tempo,Pop,Female,20140517,258.0,0,,32,6,0,3,2,3.0,4.0
37,37,Post To Be,OMARION featuring CHRIS BROWN & JHENE AIKO,Cool,Slow Tempo,Urban,Mixed,20150124,143.0,0,,37,5,1,4,1,3.0,0.0
38,38,Take Me Home,CASH CASH featuring BEBE REXHA,Romantic,Medium Tempo,Traditional,Male,20140201,271.0,0,,37,2,2,2,3,3.0,5.0
39,39,Tuesday,I LOVE MAKONNEN featuring DRAKE,Brooding,Medium Tempo,Alternative & Punk,Male,20141011,234.0,0,1988.0,26,4,2,1,3,1.0,3.0
40,40,Bad Day,DANIEL POWTER,Empowering,Medium Tempo,Pop,Male,20060408,252.0,1,1971.0,35,6,2,3,3,3.0,4.0
41,41,Roar,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20130914,277.0,1,1986.0,27,4,2,3,2,2.0,5.0
42,42,Somebody,NATALIE LA ROSE featuring JEREMIH,Sensual,Medium Tempo,Pop,Mixed,20150207,243.0,0,1987.0,28,2,2,3,1,2.0,4.0
43,43,West Coast,LANA DEL REY,Yearning,Medium Tempo,Electronica,Female,20140503,216.0,0,1981.0,33,4,2,1,2,3.0,3.0
44,44,Nothin' On You,B.O.B featuring BRUNO MARS,Rowdy,Medium Tempo,Urban,Male,20100501,131.0,1,1985.0,25,4,2,4,3,1.0,0.0
45,45,Baby Don't Lie,GWEN STEFANI,Cool,Medium Tempo,Pop,Female,20141108,1619.0,0,1969.0,45,5,2,3,2,4.0,6.0
46,46,Gonna Know We Were Here,JASON ALDEAN,Yearning,Medium Tempo,Traditional,Male,20141004,233.0,0,1977.0,37,4,2,2,3,3.0,3.0
47,47,Harlem Shake,BAAUER,Energizing,Fast Tempo,Electronica,Male,20130302,169.0,1,1988.0,25,6,0,1,3,1.0,1.0
48,48,Main Chick,KID INK featuring CHRIS BROWN,Defiant,Medium Tempo,Urban,Male,20140531,203.0,0,1988.0,26,3,2,4,3,1.0,2.0
49,49,We Belong Together,MARIAH CAREY,Sensual,Medium Tempo,Urban,Female,20050604,17.0,1,1987.0,18,2,2,4,2,0.0,0.0
50,50,No Flex Zone!!,RAE SREMMURD,Defiant,Medium Tempo,Urban,Male,20140816,271.0,0,1995.0,19,3,2,4,3,0.0,5.0
51,51,Break Your Heart,TAIO CRUZ featuring LUDACRIS,Excited,Medium Tempo,Urban,Male,20100320,233.0,1,1985.0,25,5,2,4,3,1.0,3.0
52,52,The Big Bang,KATY TIZ,Urgent,Medium Tempo,Other,Mixed,20140517,314.0,0,,26,3,2,0,1,1.0,6.0
53,53,Keep Your Money,EMPIRE CAST featuring JUSSIE SMOLLETT,Defiant,Medium Tempo,Soundtrack,Mixed,20150228,244.0,0,1974.0,41,3,2,0,1,4.0,4.0
54,54,Hot Boy,BOBBY SHMURDA,Excited,Fast Tempo,Pop,Mixed,20140816,263.0,0,,36,5,0,3,1,3.0,4.0
55,55,Gas Pedal,SAGE THE GEMINI featuring IAMSU,Other,Slow Tempo,Urban,Male,20140104,243.0,0,1974.0,40,0,1,4,3,3.0,4.0
56,56,Roar,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20140104,220.0,0,1984.0,30,4,2,3,2,2.0,3.0
57,57,Budapest,GEORGE EZRA,Fiery,Medium Tempo,Alternative & Punk,Male,20150214,216.0,0,,24,4,2,1,3,1.0,3.0
58,58,We Might Be Dead By Tomorrow,SOKO,Sentimental,Slow Tempo,Alternative & Punk,Female,20140329,205.0,0,1988.0,26,4,1,1,2,1.0,2.0
59,59,Only,NICKI MINAJ featuring DRAKE LIL WAYNE & CHRIS BROWN,Cool,Medium Tempo,Urban,Mixed,20141115,185.0,0,1985.0,29,5,2,4,1,2.0,2.0
60,60,All Of Me,JOHN LEGEND,Sophisticated,Slow Tempo,Urban,Male,20140517,308.0,1,1978.0,36,4,1,4,3,3.0,6.0
61,61,I Bet,CIARA,Sensual,Medium Tempo,Urban,Female,20150214,197.0,0,1987.0,28,2,2,4,2,2.0,2.0
62,62,Meanwhile Back At Mama's,TIM McGRAW featuring FAITH HILL,Yearning,Medium Tempo,Traditional,Mixed,20140614,259.0,0,,22,4,2,2,1,1.0,4.0
63,63,This Is How We Roll,FLORIDA GEORGIA LINE featuring LUKE BRYAN,Empowering,Medium Tempo,Traditional,Male,20140301,367.0,0,1987.0,27,6,2,2,3,2.0,6.0
64,64,Stolen Dance,MILKY CHANCE,Cool,Medium Tempo,Alternative & Punk,Male,20140809,208.0,0,,21,5,2,1,3,0.0,2.0
65,65,Earned It (Fifty Shades Of Grey),THE WEEKND,Sophisticated,Medium Tempo,Urban,Male,20150110,261.0,0,1981.0,34,4,2,4,3,3.0,4.0
66,66,Heartbeat Song,KELLY CLARKSON,Sophisticated,Medium Tempo,Pop,Female,20150131,204.0,0,,34,4,2,3,2,3.0,2.0
67,67,Touch My Body,MARIAH CAREY,Sensual,Slow Tempo,Urban,Female,20080412,260.0,1,1970.0,38,2,1,4,2,3.0,4.0
68,68,Let Me Love You,MARIO WINANS,Sensual,Medium Tempo,Urban,Male,20050101,308.0,1,1974.0,31,2,2,4,3,3.0,6.0
69,69,Invisible,HUNTER HAYES,Empowering,Slow Tempo,Traditional,Male,20140208,223.0,0,1986.0,28,6,1,2,3,2.0,3.0
70,70,Sweet Little Somethin',JASON ALDEAN,Brooding,Medium Tempo,Traditional,Male,20140920,262.0,0,1979.0,35,4,2,2,3,3.0,4.0
71,71,Night Changes,ONE DIRECTION,Empowering,Medium Tempo,Pop,Male,20141206,213.0,0,1994.0,20,6,2,3,3,0.0,3.0
72,72,Style,TAYLOR SWIFT,Yearning,Medium Tempo,Pop,Female,20141115,0.0,0,1982.0,32,4,2,3,2,3.0,0.0
73,73,I Have Nothing,TESSANNE CHIN,Sentimental,Slow Tempo,Alternative & Punk,Mixed,20140104,4496.0,0,1986.0,28,4,1,1,1,2.0,6.0
74,74,Chandelier,SIA,Excited,Medium Tempo,Alternative & Punk,Female,20140524,119.0,0,1981.0,33,5,2,1,2,3.0,0.0
75,75,Empire State Of Mind,JAY-Z & ALICIA KEYS,Energizing,Medium Tempo,Urban,Mixed,20091128,110.0,1,1981.0,28,6,2,4,1,2.0,0.0
76,76,10 Bands,DRAKE,Cool,Medium Tempo,Urban,Male,20150228,304.0,0,1986.0,29,5,2,4,3,2.0,6.0
77,77,Raise Your Glass,P!NK,Excited,Medium Tempo,Pop,Female,20101211,232.0,1,1988.0,22,5,2,3,2,1.0,3.0
78,78,Neon Lights,DEMI LOVATO,Urgent,Medium Tempo,Pop,Female,20140111,372.0,0,1992.0,22,3,2,3,2,1.0,6.0
79,79,Anything Goes,FLORIDA GEORGIA LINE,Rowdy,Medium Tempo,Rock,Male,20141011,226.0,0,1987.0,27,4,2,1,3,2.0,3.0
80,80,Umbrella,RIHANNA featuring JAY-Z,Energizing,Medium Tempo,Urban,Mixed,20070609,0.0,1,1988.0,19,6,2,4,1,0.0,0.0
81,81,Shut Up + Dance,WALK THE MOON,Defiant,Medium Tempo,Alternative & Punk,Male,20141122,0.0,0,1982.0,32,3,2,1,3,3.0,0.0
82,82,Sunny And 75,JOE NICHOLS,Yearning,Medium Tempo,Traditional,Male,20140104,300.0,0,1970.0,44,4,2,2,3,4.0,5.0
83,83,Happy,PHARRELL WILLIAMS,Energizing,Medium Tempo,Pop,Male,20140308,222.0,1,1985.0,29,6,2,3,3,2.0,3.0
84,84,Two Night Town,JASON ALDEAN,Empowering,Medium Tempo,Traditional,Male,20140927,0.0,0,,29,6,2,2,3,2.0,0.0
85,85,Marry Me,JASON DERULO,Excited,Medium Tempo,Pop,Male,20140104,279.0,0,1979.0,35,5,2,3,3,3.0,5.0
86,86,Cool Kids,ECHOSMITH,Yearning,Medium Tempo,Alternative & Punk,Mixed,20140726,331.0,0,1981.0,33,4,2,1,1,3.0,6.0
87,87,7/11,BEYONCE,Energizing,Fast Tempo,Urban,Female,20150307,217.0,0,1981.0,34,6,0,4,2,3.0,3.0
88,88,Best Friends,SOPHIA GRACE,Empowering,Medium Tempo,Urban,Female,20150124,230.0,0,1977.0,38,6,2,4,2,3.0,3.0
89,89,Bleeding Love,LEONA LEWIS,Defiant,Medium Tempo,Urban,Female,20080405,257.0,1,1985.0,23,3,2,4,2,1.0,4.0
90,90,Birthday,KATY PERRY,Excited,Medium Tempo,Pop,Female,20140426,278.0,0,1975.0,39,5,2,3,2,3.0,5.0
91,91,Walk Thru,RICH HOMIE QUAN featuring PROBLEM,Sensual,Slow Tempo,Urban,Male,20140906,242.0,0,1990.0,24,2,1,4,3,1.0,4.0
92,92,Santa Tell Me,ARIANA GRANDE,Sensual,Medium Tempo,Pop,Female,20141213,247.0,0,1993.0,21,2,2,3,2,0.0,4.0
93,93,Let It Be,TESSANNE CHIN & ADAM LEVINE,Empowering,Medium Tempo,Rock,Male,20140104,267.0,0,1988.0,26,6,2,1,3,1.0,4.0
94,94,Applause,LADY GAGA,Urgent,Fast Tempo,Pop,Female,20140104,210.0,0,1985.0,29,3,0,3,2,2.0,2.0
95,95,Rude,MAGIC!,Sensual,Medium Tempo,Other,Male,20140726,228.0,1,1981.0,33,2,2,0,3,3.0,3.0
96,96,Rude Boy,RIHANNA,Urgent,Fast Tempo,Urban,Female,20100327,259.0,1,1984.0,26,3,0,4,2,1.0,4.0
97,97,Sing,ED SHEERAN,Urgent,Medium Tempo,Pop,Male,20140426,382.0,0,1971.0,43,3,2,3,3,4.0,6.0
98,98,Drunk Last Night,ELI YOUNG BAND,Yearning,Medium Tempo,Traditional,Male,20140104,263.0,0,1973.0,41,4,2,2,3,4.0,4.0
99,99,A Little Too Much,SHAWN MENDES,Empowering,Medium Tempo,Pop,Male,20150221,225.0,0,1975.0,40,6,2,3,3,3.0,3.0
100,100,Day Drinking,LITTLE BIG TOWN,Urgent,Medium Tempo,Traditional,Mixed,20140621,329.0,0,1971.0,43,3,2,2,1,4.0,6.0
101,101,Yeah,JOE NICHOLS,Yearning,Medium Tempo,Traditional,Male,20140510,0.0,0,1981.0,33,4,2,2,3,3.0,0.0
102,102,So Sick,NE-YO,Sensual,Slow Tempo,Urban,Male,20060318,146.0,1,1978.0,28,2,1,4,3,2.0,0.0
103,103,Alone Together,FALL OUT BOY,Defiant,Medium Tempo,Alternative & Punk,Male,20140104,333.0,0,1981.0,33,3,2,1,3,3.0,6.0
104,104,Thinking Out Loud,ED SHEERAN,Empowering,Slow Tempo,Pop,Male,20141025,319.0,0,1973.0,41,6,1,3,3,4.0,6.0
105,105,No Role Modelz,J. COLE,Cool,Medium Tempo,Urban,Male,20141227,323.0,0,1981.0,33,5,2,4,3,3.0,6.0
106,106,My Life Would Suck Without You,KELLY CLARKSON,Yearning,Medium Tempo,Pop,Female,20090207,223.0,1,1977.0,32,4,2,3,2,3.0,3.0
107,107,Close Your Eyes,PARMALEE,Empowering,Medium Tempo,Traditional,Male,20141011,272.0,0,1981.0,33,6,2,2,3,3.0,5.0
108,108,You And Your Friends,WIZ KHALIFA featuring SNOOP DOGG & TY DOLLAR $IGN,Cool,Slow Tempo,Urban,Male,20141004,0.0,0,1975.0,39,5,1,4,3,3.0,0.0
109,109,Word Crimes,WEIRD AL YANKOVIC,Excited,Medium Tempo,Other,Male,20140802,568.0,0,1978.0,36,5,2,0,3,3.0,6.0
110,110,Worth It,FIFTH HARMONY featuring KID INK,Energizing,Medium Tempo,Pop,Mixed,20150207,245.0,0,1976.0,39,6,2,3,1,3.0,4.0
111,111,Roller Coaster,LUKE BRYAN,Yearning,Medium Tempo,Traditional,Male,20140802,210.0,0,1977.0,37,4,2,2,3,3.0,2.0
112,112,Lost Without U,CHRIS JAMISON & ADAM LEVINE,Sensual,Medium Tempo,Pop,Male,20150103,4150.0,0,1979.0,36,2,2,3,3,3.0,6.0
113,113,Only One,KANYE WEST featuring PAUL McCARTNEY,Urgent,Fast Tempo,Rock,Mixed,20150117,208.0,0,1988.0,27,3,0,1,1,2.0,2.0
114,114,Out The Speakers,A-TRAK + MILO & OTIS featuring RICH KIDZ,Aggressive,Medium Tempo,Electronica,Male,20150221,207.0,0,1971.0,44,4,2,1,3,4.0,2.0
115,115,Midnight Memories,ONE DIRECTION,Urgent,Medium Tempo,Pop,Male,20140215,188.0,0,1994.0,20,3,2,3,3,0.0,2.0
116,116,Drop It Like It's Hot,SNOOP DOGG,Cool,Slow Tempo,Urban,Male,20041211,115.0,1,1982.0,22,5,1,4,3,1.0,0.0
117,117,Don't,ED SHEERAN,Cool,Slow Tempo,Pop,Male,20140628,180.0,0,1977.0,37,5,1,3,3,3.0,1.0
118,118,Homegrown,ZAC BROWN BAND,Empowering,Medium Tempo,Alternative & Punk,Male,20150131,215.0,0,1981.0,34,6,2,1,3,3.0,3.0
119,119,Let It Go,DEMI LOVATO,Empowering,Medium Tempo,Pop,Female,20140104,232.0,0,1992.0,22,6,2,3,2,1.0,3.0
120,120,Set Fire To The Rain,ADELE,Yearning,Medium Tempo,Pop,Female,20120204,152.0,1,1988.0,24,4,2,3,2,1.0,1.0
121,121,Gold Digger,KANYE WEST featuring JAMIE FOXX,Aggressive,Medium Tempo,Urban,Male,20050917,271.0,1,1970.0,35,4,2,4,3,3.0,5.0
122,122,Don't Matter,AKON,Sensual,Medium Tempo,Urban,Male,20070407,246.0,1,1973.0,34,2,2,4,3,3.0,4.0
123,123,Beating Heart,ELLIE GOULDING,Yearning,Medium Tempo,Electronica,Female,20140405,198.0,0,1977.0,37,4,2,1,2,3.0,2.0
124,124,Studio,SCHOOLBOY Q featuring BJ THE CHICAGO KID,Sensual,Medium Tempo,Urban,Male,20140621,270.0,0,1983.0,31,2,2,4,3,3.0,4.0
125,125,3,BRITNEY SPEARS,Energizing,Fast Tempo,Pop,Female,20091024,205.0,1,1970.0,39,6,0,3,2,3.0,2.0
126,126,Slow Me Down,SARA EVANS,Upbeat,Medium Tempo,Traditional,Female,20140329,149.0,0,1969.0,45,5,2,2,2,4.0,0.0
127,127,Counting Stars,ONEREPUBLIC,Urgent,Medium Tempo,Pop,Male,20140104,225.0,0,1979.0,35,3,2,3,3,3.0,3.0
128,128,Blurred Lines,ROBIN THICKE featuring T.I. & PHARRELL,Energizing,Medium Tempo,Pop,Male,20140104,151.0,0,1977.0,37,6,2,3,3,3.0,1.0
129,129,My Baby's Gor A Smile On Her Face,CRAIG WAYNE BOYD,Yearning,Medium Tempo,Traditional,Male,20150103,178.0,0,1978.0,37,4,2,2,3,3.0,1.0
130,130,I Don't Dance,LEE BRICE,Upbeat,Medium Tempo,Other,Male,20140503,227.0,0,,27,5,2,0,3,2.0,3.0
131,131,Get Her Back,ROBIN THICKE,Easygoing,Medium Tempo,Pop,Male,20140712,182.0,0,,27,1,2,3,3,2.0,2.0
132,132,Whistle,FLO RIDA,Energizing,Medium Tempo,Urban,Male,20120825,198.0,1,1979.0,33,6,2,4,3,3.0,2.0
133,133,I Kissed A Girl,KATY PERRY,Aggressive,Fast Tempo,Pop,Female,20080705,156.0,1,1984.0,24,4,0,3,2,1.0,1.0
134,134,This Is How We Do,KATY PERRY,Energizing,Medium Tempo,Pop,Female,20140816,176.0,0,1984.0,30,6,2,3,2,2.0,1.0
135,135,Habits (Stay High),TOVE LO,Sophisticated,Medium Tempo,Electronica,Female,20140614,0.0,0,,21,4,2,1,2,0.0,0.0
136,136,Animals,MARTIN GARRIX,Defiant,Fast Tempo,Alternative & Punk,Male,20140104,240.0,0,,22,3,0,1,3,1.0,3.0
137,137,Get Ur Freak On,MISSY MISDEMEANOR ELLIOTT,Defiant,Medium Tempo,Urban,Female,20150221,175.0,0,,35,3,2,4,2,3.0,1.0
138,138,Bad Blood,BASTILLE,Excited,Fast Tempo,Alternative & Punk,Male,20140426,218.0,0,1973.0,41,5,0,1,3,4.0,3.0
139,139,Give Me Back My Hometown,ERIC CHURCH,Empowering,Medium Tempo,Traditional,Male,20140125,239.0,0,1977.0,37,6,2,2,3,3.0,3.0
140,140,Slow Jamz,TWISTA feat KANYE WEST & JAMIE FOXX,Yearning,Medium Tempo,Urban,Male,20040221,250.0,1,1973.0,31,4,2,4,3,3.0,4.0
141,141,Fever,THE BLACK KEYS,Brooding,Medium Tempo,Alternative & Punk,Male,20140412,251.0,0,,33,4,2,1,3,3.0,4.0
142,142,My Baby's Guns N' Roses,BRANTLEY GILBERT,Empowering,Medium Tempo,Traditional,Male,20140517,270.0,0,1985.0,29,6,2,2,3,2.0,4.0
143,143,Wonderland,TAYLOR SWIFT,Empowering,Medium Tempo,Pop,Female,20150307,252.0,0,1989.0,26,6,2,3,2,1.0,4.0
144,144,Wasting All These Tears,CASSADEE POPE,Empowering,Slow Tempo,Traditional,Female,20140104,217.0,0,,31,6,1,2,2,3.0,3.0
145,145,I Won't Let You Down,OK GO,Energizing,Medium Tempo,Alternative & Punk,Male,20141115,0.0,0,,33,6,2,1,3,3.0,0.0
146,146,Hookah,TYGA featuring YOUNG THUG,Defiant,Medium Tempo,Urban,Male,20140830,253.0,0,,27,3,2,4,3,2.0,4.0
147,147,Kiss Me Kiss Me,5 SECONDS OF SUMMER,Stirring,Fast Tempo,Pop,Male,20140705,269.0,0,1996.0,18,5,0,3,3,0.0,4.0
148,148,Somebody That I Used To Know,CHRISTINA GRIMMIE & ADAM LEVINE,Yearning,Medium Tempo,Pop,Mixed,20140607,220.0,0,,27,4,2,3,1,2.0,3.0
149,149,Give It To Me,TIMBALAND feat NELLY FURTADO & JUSTIN TIMBERLAKE,Energizing,Medium Tempo,Pop,Mixed,20070421,93.0,1,1972.0,35,6,2,3,1,3.0,0.0
150,150,Grillz,NELLY featuring PAUL WALL ALI & GIPP,Cool,Medium Tempo,Urban,Male,20060121,701.0,1,1974.0,32,5,2,4,3,3.0,6.0
151,151,London Bridge,FERGIE,Cool,Medium Tempo,Pop,Female,20060819,310.0,1,1975.0,31,5,2,3,2,3.0,6.0
152,152,Centuries,FALL OUT BOY,Urgent,Medium Tempo,Alternative & Punk,Male,20140927,209.0,0,1984.0,30,3,2,1,3,2.0,2.0
153,153,Unconditionally,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20140104,241.0,0,1984.0,30,4,2,3,2,2.0,4.0
154,154,Shell Shocked,JUICY J WIZ KHALIFA & TY DOLLA $IGN featuring KILL THE NOIS,Cool,Medium Tempo,Urban,Male,20140830,271.0,0,,27,5,2,4,3,2.0,5.0
155,155,Wet Dreamz,J. COLE,Cool,Medium Tempo,Urban,Male,20141227,300.0,0,1985.0,29,5,2,4,3,2.0,5.0
156,156,Am I Wrong,NICO & VINZ,Yearning,Medium Tempo,Pop,Male,20140503,211.0,0,1990.0,24,4,2,3,3,1.0,3.0
157,157,Down,JAY SEAN featuring LIL WAYNE,Cool,Medium Tempo,Urban,Male,20091017,223.0,1,1981.0,28,5,2,4,3,2.0,3.0
